7501125112706;PISA;BUPIVACAINA SIMPLE 150MG/30ML (BUVACAINA) AMP EPIDURAL X 30ML (PISA) F.V 08/2025;42;318.1090
7800061065306;BIOSANO;BUPIVACAINA SIMPLE 50MG/10ML AMP EPIDURAL (BIOSANO) FV. 01/2027;189;177.6885
6921875003207;ALFA;CEFALOTINA 1GR AMP I.V/I.M (ALFA) FV. 11/2026;192;90.5080
17598650000667;JL DE VENEZUELA;CEFAZOLINA 0.5GR AMP I.V (JL PHARMA) FV. 05/2026;220;33.2750
8906012340214;VIDA LABS;CEFAZOLINA 1GR (CEFALIN-1) AMP I.V/I.M (VIDA LABS) F.V 06/2026;53;73.8705
8904187889507;CR MEDICARE;CEFAZOLINA 1GR (CEFAZMED) AMP I.V/I.M (MEDICARE) FV.06/2026;50;73.8705
6921875004143;ALFA;CEFAZOLINA 1GR AMP I.V/I.M (ALFA) FV. 11/2026;83;57.2330
6921875008608;HUMAN BIOSCIENCE;CEFAZOLINA 1GR AMP I.V/I.M (HUMAN BIOSCIENCE) F.V 10/2026;50;77.8635
69218750516661;ZAKIMED;CEFAZOLINA 1GR AMP I.V/I.M (ZAKIMED) FV.04/2027;53;73.8705
8906012340528;VIDA LABS;CEFEPIME 1GR (CEFIMAX) AMP I.V/I.M (VIDA LABS) FV. 03/2026;229;204.3085
8906112610767;ADN DESCUENTO;CEFEPIME 1GR AMP I.V/I.M (ADN MEDICAL) FV. 03/2025;1;179.0461
6921875010793;KMPLUS;CEFEPIME 1GR AMP I.V/I.M (KMPLUS) FV. 10/2026;33;210.2980
7598981001312;JMW;CEFOPERAZONA + SULBACTAM 1.5GR AMP I.V/I.M (JMW) FV. 09/2025;7;125.1140
6921875006697;KMPLUS;CEFOPERAZONA + SULBACTAM 1.5GR AMP I.V/I.M (KMPLUS) FV. 10/2026;83;160.3855
8906036366269;LABORATORIO ZUZU;CEFOPERAZONA + SULBACTAM 1.5GR AMP I.V/IM (ZUZU) FV. 11/2026;16;175.6920
8904187888777;CR MEDICARE;CEFOTAXIMA 1GR (CEFOXMED) AMP I.V/I.M (MEDICARE)  FV. 04/2026;134;63.8880
